Year,China,New Zealand,United States,United Kingdom,Japan,Singapore,Malaysia,South Korea,India,Hong Kong,Indonesia,Germany,France,Canada,Thailand,Middle East,Other Asia,Other Europe,Other World,Total
2008,355,1097,456,680,402,237,189,197,113,137,95,163,98,131,69,95,230,456,314,7522
2009,390,1111,494,678,362,248,205,201,128,141,116,168,106,138,75,98,241,453,317,5671
2010,498,1175,476,661,363,268,231,210,145,157,130,166,105,132,77,100,242,441,322,5900
2011,584,1184,484,627,344,266,230,207,154,154,137,157,109,135,71,94,264,452,338,5991
2012,690,1182,510,638,339,307,252,201,172,171,142,164,114,134,74,93,294,474,342,6293
2013,774,1226,538,671,331,358,315,200,189,197,152,178,119,140,79,102,319,494,343,6742
2014,936,1271,585,667,333,363,330,212,223,202,158,185,124,143,76,109,353,498,368,7138
2015,1146,1325,665,704,380,419,359,256,244,235,163,190,126,142,85,114,417,507,377,7853
2016,1259,1353,759,726,429,432,406,289,280,259,199,208,129,164,95,125,501,540,404,8558
2017,1422,1371,788,742,442,433,394,305,335,299,203,208,135,173,99,127,587,558,452,9072
2018,1433,1409,804,721,483,453,399,284,372,313,218,211,145,189,100,119,641,592,471,9359
2019,1507,1452,849,739,504,468,421,290,410,326,233,218,150,200,105,125,699,613,492,9802
2020,1605,1495,894,759,523,481,444,292,450,339,248,226,157,207,108,130,763,633,511,10266
2021,1706,1538,941,780,537,495,466,303,493,352,264,233,164,215,110,135,832,652,530,10747
2022,1814,1580,987,801,553,508,490,315,541,366,280,241,172,223,113,139,905,671,549,11247
2023,1926,1620,1033,822,568,522,515,329,591,380,298,248,179,230,116,144,982,690,570,11763
2024,2044,1660,1080,844,584,535,541,344,642,394,317,255,187,237,118,148,1064,709,591,12294
2025,2165,1701,1129,867,601,549,567,358,696,407,337,262,194,244,121,153,1150,730,613,12845
2026,2292,1742,1180,891,617,564,595,373,753,421,358,270,202,251,124,157,1243,751,637,13422
2027,2421,1785,1233,915,634,579,623,388,813,436,381,277,211,258,127,162,1340,774,660,14018
2028,2554,1829,1288,940,651,594,653,403,879,451,406,284,220,265,130,167,1443,797,684,14639
Lats,35.86166,-40.900557,37.09024,55.378051,36.204824,1.36667,4.210484,35.907757,20.593684,22.305,-0.789275,51.165691,46.227638,56.130366,15.870032,0,0,0,0,0
Longs,104.195397,174.885971,-95.712891,-3.435973,138.252924,103.8,101.975766,127.766922,78.96288,114.185,113.921327,10.451526,2.213749,-106.346771,100.992541,0,0,0,0,0
